"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"860Z200US02131","ZCTA5 02131","30544",
"860Z200US02132","ZCTA5 02132","27111",
"860Z200US02133","ZCTA5 02133","56",
"860Z200US02134","ZCTA5 02134","21707",
"860Z200US02135","ZCTA5 02135","47232",
"860Z200US02136","ZCTA5 02136","35102",
"860Z200US02138","ZCTA5 02138","37982",
"860Z200US02139","ZCTA5 02139","39525",
"860Z200US02140","ZCTA5 02140","21447",
"860Z200US02141","ZCTA5 02141","15130",
"860Z200US02142","ZCTA5 02142","4499",
"860Z200US02143","ZCTA5 02143","26022",
"860Z200US02144","ZCTA5 02144","25497",
"860Z200US02145","ZCTA5 02145","27520",
"860Z200US02148","ZCTA5 02148","66274",
"860Z200US02149","ZCTA5 02149","49075",
"860Z200US02150","ZCTA5 02150","40721",
"860Z200US02151","ZCTA5 02151","62252",
"860Z200US02152","ZCTA5 02152","19316",
"860Z200US02155","ZCTA5 02155","61483",
"860Z200US02163","ZCTA5 02163","1391",
"860Z200US02169","ZCTA5 02169","62140",
"860Z200US02170","ZCTA5 02170","19950",
"860Z200US02171","ZCTA5 02171","19539",
"860Z200US02176","ZCTA5 02176","29817",
"860Z200US02180","ZCTA5 02180","23244",
"860Z200US02184","ZCTA5 02184","39143",
"860Z200US02186","ZCTA5 02186","28637",
"860Z200US02188","ZCTA5 02188","15133",
"860Z200US02189","ZCTA5 02189","15123",
"860Z200US02190","ZCTA5 02190","18910",
"860Z200US02191","ZCTA5 02191","8271",
"860Z200US02199","ZCTA5 02199","1574",
"860Z200US02203","ZCTA5 02203","0",
"860Z200US02205","ZCTA5 02205","10",
"860Z200US02210","ZCTA5 02210","5808",
"860Z200US02215","ZCTA5 02215","26926",
"860Z200US02301","ZCTA5 02301","69418",
"860Z200US02302","ZCTA5 02302","36202",
"860Z200US02322","ZCTA5 02322","4777",
"860Z200US02324","ZCTA5 02324","25676",
"860Z200US02325","ZCTA5 02325","3025",
"860Z200US02330","ZCTA5 02330","11645",
"860Z200US02332","ZCTA5 02332","16090",
"860Z200US02333","ZCTA5 02333","14382",
"860Z200US02338","ZCTA5 02338","7749",
"860Z200US02339","ZCTA5 02339","14833",
"860Z200US02341","ZCTA5 02341","10367",
"860Z200US02343","ZCTA5 02343","11364",
"860Z200US02346","ZCTA5 02346","24245",
"860Z200US02347","ZCTA5 02347","11523",
"860Z200US02350","ZCTA5 02350","272",
"860Z200US02351","ZCTA5 02351","17085",
"860Z200US02356","ZCTA5 02356","12767",
"860Z200US02357","ZCTA5 02357","1906",
"860Z200US02359","ZCTA5 02359","18361",
"860Z200US02360","ZCTA5 02360","61134",
"860Z200US02364","ZCTA5 02364","13708",
"860Z200US02366","ZCTA5 02366","83",
"860Z200US02367","ZCTA5 02367","2930",
"860Z200US02368","ZCTA5 02368","35025",
"860Z200US02370","ZCTA5 02370","17803",
"860Z200US02375","ZCTA5 02375","10373",
"860Z200US02379","ZCTA5 02379","7697",
"860Z200US02382","ZCTA5 02382","15121",
"860Z200US02420","ZCTA5 02420","15502",
"860Z200US02421","ZCTA5 02421","18950",
"860Z200US02445","ZCTA5 02445","22499",
"860Z200US02446","ZCTA5 02446","31957",
"860Z200US02451","ZCTA5 02451","17953",
"860Z200US02452","ZCTA5 02452","15340",
"860Z200US02453","ZCTA5 02453","31854",
"860Z200US02457","ZCTA5 02457","1560",
"860Z200US02458","ZCTA5 02458","12817",
"860Z200US02459","ZCTA5 02459","19017",
"860Z200US02460","ZCTA5 02460","9204",
"860Z200US02461","ZCTA5 02461","7430",
"860Z200US02462","ZCTA5 02462","1569",
"860Z200US02464","ZCTA5 02464","3193",
"860Z200US02465","ZCTA5 02465","12415",
"860Z200US02466","ZCTA5 02466","8434",
"860Z200US02467","ZCTA5 02467","22626",
"860Z200US02468","ZCTA5 02468","5713",
"860Z200US02472","ZCTA5 02472","35392",
"860Z200US02474","ZCTA5 02474","28551",
"860Z200US02476","ZCTA5 02476","17757",
"860Z200US02478","ZCTA5 02478","27286",
"860Z200US02481","ZCTA5 02481","17280",
"860Z200US02482","ZCTA5 02482","10710",
"860Z200US02492","ZCTA5 02492","21359",
"860Z200US02493","ZCTA5 02493","11851",
"860Z200US02494","ZCTA5 02494","10732",
"860Z200US02532","ZCTA5 02532","13411",
"860Z200US02534","ZCTA5 02534","899",
"860Z200US02535","ZCTA5 02535","1651",
"860Z200US02536","ZCTA5 02536","19993",
"860Z200US02537","ZCTA5 02537","6178",
"860Z200US02538","ZCTA5 02538","4428",
"860Z200US02539","ZCTA5 02539","5168",
"860Z200US02540","ZCTA5 02540","8450",
"860Z200US02542","ZCTA5 02542","793",
"860Z200US02543","ZCTA5 02543","756",
"860Z200US02553","ZCTA5 02553","164",
"860Z200US02554","ZCTA5 02554","13517",
"860Z200US02556","ZCTA5 02556","3338",
"860Z200US02557","ZCTA5 02557","2372",
"860Z200US02558","ZCTA5 02558","2178",
"860Z200US02559","ZCTA5 02559","3388",
"860Z200US02561","ZCTA5 02561","712",
"860Z200US02562","ZCTA5 02562","3204",
"860Z200US02563","ZCTA5 02563","10070",
"860Z200US02564","ZCTA5 02564","703",
"860Z200US02568","ZCTA5 02568","8172",
"860Z200US02571","ZCTA5 02571","10858",
"860Z200US02575","ZCTA5 02575","3167",
"860Z200US02576","ZCTA5 02576","3957",
"860Z200US02584","ZCTA5 02584","35",
"860Z200US02601","ZCTA5 02601","16487",
"860Z200US02630","ZCTA5 02630","1956",
"860Z200US02631","ZCTA5 02631","10178",
